127.0.0.1 - - [21/Sep/2022:10:06:57 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:06:58 +0900] "GET /Board05/join.jsp HTTP/1.1" 200 3018
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:06:58 +0900] "GET /Board05/css/board.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:06:58 +0900] "GET /Board05/js/jquery-3.6.0.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:06:59 +0900] "GET /Board05/sign.jsp HTTP/1.1" 500 3092
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:06:59 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:07:15 +0900] "GET /Board05/join.jsp HTTP/1.1" 200 3018
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:07:15 +0900] "GET /Board05/sign.jsp HTTP/1.1" 500 3142
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:10:53 +0900] "GET /Board05/join.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:10:53 +0900] "GET /Board05/sign.jsp HTTP/1.1" 500 3174
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:10:53 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:20:12 +0900] "GET /Board05/join.jsp HTTP/1.1" 200 3346
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:20:12 +0900] "GET /Board05/css/board.css HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:20:12 +0900] "GET /Board05/js/jquery-3.6.0.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:20:12 +0900] "GET /Board05/sign.jsp HTTP/1.1" 500 3050
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:20:12 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:20:14 +0900] "GET /Board05/index.jsp HTTP/1.1" 200 5565
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:24:01 +0900] "GET /Board05/index.jsp HTTP/1.1" 200 5565
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:24:03 +0900] "GET /Board05/join.jsp HTTP/1.1" 200 3545
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:24:03 +0900] "GET /Board05/sign.jsp HTTP/1.1" 500 3289
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:24:38 +0900] "GET /Board05/join.jsp HTTP/1.1" 200 3546
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:24:38 +0900] "GET /Board05/js/jquery-3.6.0.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:24:38 +0900] "GET /Board05/css/board.css HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:24:38 +0900] "GET /Board05/sign.jsp HTTP/1.1" 500 3284
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:24:38 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:25:03 +0900] "GET /Board04/join.jsp HTTP/1.1" 200 4710
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:25:03 +0900] "GET /Board04/css/board.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:26:08 +0900] "GET /Board05/join.jsp HTTP/1.1" 200 3541
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:26:08 +0900] "GET /Board05/sign.jsp HTTP/1.1" 500 3295
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:26:08 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:26:13 +0900] "GET /Board05/join.jsp HTTP/1.1" 200 3541
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:26:13 +0900] "GET /Board05/css/board.css HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:26:13 +0900] "GET /Board05/js/jquery-3.6.0.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:26:13 +0900] "GET /Board05/sign.jsp HTTP/1.1" 500 3370
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:26:13 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:31:58 +0900] "GET /Board05/join.jsp HTTP/1.1" 200 3934
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:31:58 +0900] "GET /Board05/sign.jsp HTTP/1.1" 500 3132
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:31:58 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:31:59 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:00 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:00 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:00 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:00 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:01 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:01 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:01 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:01 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:01 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:02 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:02 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:03 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:04 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:24 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:24 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:24 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:25 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:26 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:32 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:32 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:32 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [21/Sep/2022:10:32:33 +0900] "GET /Board05/idcheck.jsp HTTP/1.1" 404 773
