순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
274,어린 누나 3,계장혁,너바나 필름,,(주)컨텐츠 빌리지,2019-05-02,개봉영화,장편,한국,20,"948,000",177,"680,000",133,멜로/로맨스,청소년관람불가,일반영화
275,우리가족같이,감수성,(주)투모션,,(주)투모션,2018-10-29,개봉영화,장편,한국,19,"976,000",177,"664,000",125,멜로/로맨스,청소년관람불가,일반영화
276,강남 며느리,이상수,선셋 시네마,,선셋 시네마,2019-10-11,개봉영화,장편,한국,20,"955,000",176,"693,000",133,멜로/로맨스,청소년관람불가,일반영화
277,딸의 친구 3,계장혁,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,2019-03-21,개봉영화,장편,한국,20,"952,000",176,"678,000",132,멜로/로맨스,청소년관람불가,일반영화
278,어린 엄마 3,계장혁,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,2019-05-30,개봉영화,장편,한국,20,"947,000",176,"678,000",132,멜로/로맨스,청소년관람불가,일반영화
279,관전남,최우성,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,2019-07-25,개봉영화,장편,한국,20,"951,000",175,"682,000",131,멜로/로맨스,청소년관람불가,일반영화
280,여배우: 섹스수업,노승택,(주)제이에이와이이엔터테인먼트,,(주)제이에이와이이엔터테인먼트,2019-04-05,개봉영화,장편,한국,20,"948,000",174,"681,000",131,멜로/로맨스,청소년관람불가,일반영화
281,조건엄마:슈가맘,한동호,(주)가온콘텐츠,,(주)가온콘텐츠,2018-11-13,개봉영화,장편,한국,20,"946,000",174,"666,000",126,멜로/로맨스,청소년관람불가,일반영화
282,발칙한 동거,오재학,노바엔터테인먼트,,노바엔터테인먼트,2018-01-15,개봉영화,장편,한국,20,"963,000",173,"634,000",119,,청소년관람불가,일반영화
283,어린 형수 4,최우성,너바나 필름,,(주)컨텐츠 빌리지,2019-01-04,개봉영화,장편,한국,20,"946,000",173,"672,000",129,멜로/로맨스,청소년관람불가,일반영화
284,여선생2,김대성,(주)영화사히트,,(주)영화사히트,2018-12-18,개봉영화,장편,한국,20,"946,000",173,"679,000",130,코미디,청소년관람불가,일반영화
285,쾌락 도우미 무삭제,김재승,노바엔터테인먼트,,노바엔터테인먼트,2018-01-18,개봉영화,장편,한국,20,"964,000",173,"634,000",119,,청소년관람불가,일반영화
286,쾌락의 밀실 무삭제,김경훈,노바엔터테인먼트,,노바엔터테인먼트,2018-03-29,개봉영화,장편,한국,20,"960,000",173,"634,000",119,멜로/로맨스,청소년관람불가,일반영화
287,형부를 탐하다,최정자,(주)가온콘텐츠,,(주)가온콘텐츠,2019-04-10,개봉영화,장편,한국,2,"951,000",173,"684,000",130,드라마,청소년관람불가,일반영화
288,남편친구들,최정자,(주)가온콘텐츠,,(주)가온콘텐츠,2019-05-08,개봉영화,장편,한국,20,"938,000",172,"670,000",128,드라마,청소년관람불가,일반영화
289,"유기농 섹드립 로맨스 ""오목리 미스킴""","김원기,윤민채",(주)코빈커뮤니케이션즈,,(주)코빈커뮤니케이션즈,2019-04-11,개봉영화,장편,한국,20,"944,000",172,"677,000",129,,청소년관람불가,일반영화
290,남의 아내,한동호,(주)가온콘텐츠,,(주)가온콘텐츠,2018-12-18,개봉영화,장편,한국,20,"942,000",171,"675,000",128,드라마,청소년관람불가,일반영화
291,등산의 참맛,한동호,(주)라온컴퍼니플러스,,(주)라온컴퍼니플러스,2019-01-15,개봉영화,장편,한국,20,"942,000",171,"668,000",127,멜로/로맨스,청소년관람불가,일반영화
292,발기찬 처가살이,한동호,(주)가온콘텐츠,,(주)가온콘텐츠,2019-02-12,개봉영화,장편,한국,20,"942,000",171,"668,000",127,드라마,청소년관람불가,일반영화
293,아들의 아내 무삭제,김재승,노바엔터테인먼트,,노바엔터테인먼트,2018-01-11,개봉영화,장편,한국,20,"905,000",171,"634,000",119,,청소년관람불가,일반영화
294,어린 엄마 2,정진호,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,2019-03-28,개봉영화,장편,한국,20,"942,000",171,"668,000",127,멜로/로맨스,청소년관람불가,일반영화
295,너 말고 니 언니,김종민,노바엔터테인먼트,,노바엔터테인먼트,2019-04-17,개봉영화,장편,한국,20,"871,000",170,"652,000",128,멜로/로맨스,청소년관람불가,일반영화
296,상류시대,한동호,(주)라온컴퍼니플러스,,(주)라온컴퍼니플러스,2019-01-03,개봉영화,장편,한국,20,"943,000",170,"664,000",125,멜로/로맨스,청소년관람불가,일반영화
297,천박한 누나,한동호,(주)가온콘텐츠,,(주)가온콘텐츠,2019-02-27,개봉영화,장편,한국,20,"940,000",170,"664,000",125,드라마,청소년관람불가,일반영화
298,가정부 길들이기,한동호,(주)가온콘텐츠,,(주)가온콘텐츠,2018-12-26,개봉영화,장편,한국,20,"938,000",169,"671,000",126,멜로/로맨스,청소년관람불가,일반영화
299,관전TV,최재후,밀크픽처스,,밀크픽처스,2019-11-01,개봉영화,장편,한국,20,"933,000",169,"664,000",125,스릴러,청소년관람불가,일반영화
300,내방에 일본여자가 있다,노세기,(주)엔트리미디어,,(주)엔트리미디어,2019-02-12,개봉영화,장편,한국,20,"938,000",169,"664,000",125,멜로/로맨스,청소년관람불가,일반영화
301,누나의 맛,미스터빽,(주)담화,,(주)담화,2019-06-19,개봉영화,장편,한국,20,"933,000",169,"664,000",125,기타,청소년관람불가,일반영화
302,막내 처제,계장혁,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,2019-11-14,개봉영화,장편,한국,20,"934,000",169,"665,000",125,멜로/로맨스,청소년관람불가,일반영화
303,섹파어플,정양광,(주)담화,,(주)담화,2019-12-13,개봉영화,장편,한국,20,"933,000",169,"664,000",125,멜로/로맨스,청소년관람불가,일반영화
304,스튜디오,조일준,RGB,,RGB,2019-02-27,개봉영화,장편,한국,20,"938,000",169,"664,000",125,코미디,청소년관람불가,일반영화
305,식모-머피의 법칙,노현진,(주)나우콘텐츠,,(주)나우콘텐츠,2019-11-20,개봉영화,장편,한국,20,"916,000",169,"692,000",134,멜로/로맨스,청소년관람불가,일반영화
306,어린 처제 3,계장혁,너바나 필름,,(주)컨텐츠 빌리지,2019-05-09,개봉영화,장편,한국,20,"932,000",169,"664,000",125,멜로/로맨스,청소년관람불가,일반영화
307,어린 형수 5,최우성,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,2019-10-17,개봉영화,장편,한국,20,"934,000",169,"665,000",125,멜로/로맨스,청소년관람불가,일반영화
308,우리 도련님,김대성,(주)영화사히트,,(주)영화사히트,2019-02-25,개봉영화,장편,한국,20,"938,000",169,"671,000",126,멜로/로맨스,청소년관람불가,일반영화
309,은밀한 여작가의 사생활,한동호,(주)라온컴퍼니플러스,,(주)라온컴퍼니플러스,2018-11-20,개봉영화,장편,한국,20,"938,000",169,"664,000",125,멜로/로맨스,청소년관람불가,일반영화
310,음란한 병원,한동호,(주)가온콘텐츠,,(주)가온콘텐츠,2019-04-17,개봉영화,장편,한국,20,"938,000",169,"671,000",126,드라마,청소년관람불가,일반영화
311,첫경험 3,김태수,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,2019-12-19,개봉영화,장편,한국,20,"933,000",169,"671,000",126,멜로/로맨스,청소년관람불가,일반영화
312,친구부부,,밀크픽처스,,밀크픽처스,2019-11-08,개봉영화,장편,한국,20,"933,000",169,"664,000",125,코미디,청소년관람불가,일반영화
313,화끈한 룸메이트,백석동,무비진,,주식회사 플릭스코,2019-05-16,개봉영화,장편,한국,20,"858,000",166,"644,000",124,멜로/로맨스,청소년관람불가,일반영화
314,타짜의 목적 무삭제,김경훈,노바엔터테인먼트,,노바엔터테인먼트,2018-07-26,개봉영화,장편,한국,20,"912,000",163,"636,000",119,,청소년관람불가,일반영화
315,"처제는, 처제와, 처제의...",노현진,(주)마이애미미디어,,(주)나우콘텐츠,2019-05-30,개봉영화,장편,한국,20,"850,000",162,"636,000",120,멜로/로맨스,청소년관람불가,일반영화
316,가싶녀,왕지방,(주)나우콘텐츠,,(주)나우콘텐츠,2019-12-12,개봉영화,장편,한국,21,"895,000",161,"665,000",125,멜로/로맨스,청소년관람불가,일반영화
317,거짓말 애인-감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-02-21,개봉영화,장편,한국,22,"785,000",161,"588,000",118,멜로/로맨스,청소년관람불가,일반영화
318,보도드라이버: 떡마차,이두희,두리컴,,(주)노바이앤티,2019-05-17,개봉영화,장편,한국,20,"848,000",161,"634,000",119,성인물(에로),청소년관람불가,일반영화
319,알래스카 북극곰,윤중부,(주)마이애미미디어,,(주)나우콘텐츠,2018-12-13,개봉영화,장편,한국,20,"848,000",161,"634,000",119,멜로/로맨스,청소년관람불가,일반영화
320,식모-아내의 친구,노현진,(주)나우콘텐츠,,(주)나우콘텐츠,2019-10-17,개봉영화,장편,한국,20,"888,000",160,"664,000",125,멜로/로맨스,청소년관람불가,일반영화
321,아내와 처제,노현진,(주)나우콘텐츠,,(주)나우콘텐츠,2019-11-13,개봉영화,장편,한국,20,"888,000",160,"664,000",125,멜로/로맨스,청소년관람불가,일반영화
322,성인용품 사용설명서,유승택,(주)로드하우스,,(주)로드하우스,2018-09-20,개봉영화,장편,한국,20,"799,000",159,"574,000",116,멜로/로맨스,청소년관람불가,일반영화
323,착한 이모의 은밀한 아르바이트,"강대만,유승택",(주)로드하우스,,(주)로드하우스,2018-09-27,개봉영화,장편,한국,20,"799,000",159,"574,000",116,멜로/로맨스,청소년관람불가,일반영화
324,완벽한 타인 : 비밀의 스와핑,이지은,(주)메이크아트,,(주)메이크아트,2019-09-06,개봉영화,장편,한국,20,"858,000",157,"644,000",122,멜로/로맨스,청소년관람불가,일반영화
325,아내와 제자들: 네토라레,노현진,(주)마이애미미디어,,(주)마이애미미디어,2018-03-31,개봉영화,장편,한국,20,"850,000",155,"634,000",119,,청소년관람불가,일반영화
326,동창생의 목적 - 감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-01-17,개봉영화,장편,한국,21,"825,000",153,"648,000",121,멜로/로맨스,청소년관람불가,일반영화
327,불륜 정사의 맛-감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-02-14,개봉영화,장편,한국,20,"793,000",152,"646,000",120,멜로/로맨스,청소년관람불가,일반영화
328,정사 : 질투의 덫 - 감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-02-07,개봉영화,장편,한국,22,"808,000",147,"648,000",121,멜로/로맨스,청소년관람불가,일반영화
329,전망 좋은 섹스-감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-01-24,개봉영화,장편,한국,21,"800,000",146,"648,000",121,멜로/로맨스,청소년관람불가,일반영화
330,유부녀들의 맛,유해종,(주)영화사가을,,(주)영화사가을,2018-11-01,개봉영화,장편,한국,20,"639,000",142,"188,000",67,멜로/로맨스,청소년관람불가,일반영화
331,밀애 : 친구의 아내,유해종,(주)영화사가을,,(주)영화사가을,2018-10-31,개봉영화,장편,한국,20,"889,000",141,"158,000",52,멜로/로맨스,청소년관람불가,일반영화
332,금지된 섹스,김종민,(주)케이알씨지,,(주)케이알씨지,2018-07-31,개봉영화,장편,한국,20,"664,000",139,"608,000",122,멜로/로맨스,청소년관람불가,일반영화
333,어린 여배우 무삭제판,이전,(주)케이알씨지,,(주)케이알씨지,2018-07-10,개봉영화,장편,한국,20,"658,000",139,"609,000",123,멜로/로맨스,청소년관람불가,일반영화
334,선녀는 몸으로 운다-감독판,이전,(주)케이알씨지,,(주)케이알씨지,2018-07-12,개봉영화,장편,한국,20,"657,000",138,"608,000",122,멜로/로맨스,청소년관람불가,일반영화
335,섹스-이웃집 여자-감독판,이전,(주)케이알씨지,,(주)케이알씨지,2018-07-31,개봉영화,장편,한국,20,"657,000",138,"608,000",122,멜로/로맨스,청소년관람불가,일반영화
336,인공지능 섹스돌,김종민,(주)케이알씨지,,(주)케이알씨지,2018-07-31,개봉영화,장편,한국,20,"657,000",138,"615,000",123,멜로/로맨스,청소년관람불가,일반영화
337,젊은 누나-감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-07-26,개봉영화,장편,한국,20,"657,000",138,"608,000",122,멜로/로맨스,청소년관람불가,일반영화
338,폰 섹스의 덫-감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-07-24,개봉영화,장편,한국,20,"657,000",138,"608,000",122,멜로/로맨스,청소년관람불가,일반영화
339,공즉시색 2,이리단,(주)영화사가을,,(주)영화사가을,2018-02-01,개봉영화,장편,한국,20,"807,000",135,"378,000",67,멜로/로맨스,청소년관람불가,일반영화
340,가래떡의 맛: 감독판,이전,(주)케이알씨지,,(주)케이알씨지,2018-03-20,개봉영화,장편,한국,20,"630,000",132,"588,000",118,멜로/로맨스,청소년관람불가,일반영화
341,거짓말 2018: 감독판,이전,(주)케이알씨지,,(주)케이알씨지,2018-03-27,개봉영화,장편,한국,19,"629,000",131,"586,000",117,멜로/로맨스,청소년관람불가,일반영화
342,불륜 동창회,조태호,(주)영화사가을,,(주)영화사가을,2018-03-02,개봉영화,장편,한국,20,"772,000",130,"364,000",65,멜로/로맨스,청소년관람불가,일반영화
343,엄마친구 4,"채준우,채준우",(주)영화사 사계절,,(주)영화사 사계절,2018-01-04,개봉영화,장편,한국,20,"774,000",130,"378,000",67,멜로/로맨스,청소년관람불가,일반영화
344,옆집소녀3,성기만,스마일컨텐츠,,스마일컨텐츠,2019-09-11,개봉영화,장편,한국,20,"700,000",130,"425,000",85,멜로/로맨스,청소년관람불가,일반영화
345,정사 : 착한 며느리들 2,김부곤,(주)영화사가을,,(주)영화사가을,2018-11-29,개봉영화,장편,한국,20,"1,086,000",130,"430,000",53,멜로/로맨스,청소년관람불가,일반영화
346,친구누나2,이리단,(주)영화사가을,,(주)영화사가을,2018-02-08,개봉영화,장편,한국,20,"773,000",130,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
347,내 친구 엄마,이리단,(주)영화사가을,,(주)영화사가을,2018-03-15,개봉영화,장편,한국,20,"767,000",129,"369,000",65,멜로/로맨스,청소년관람불가,일반영화
348,룸싸롱 여대생들,조태호,(주)영화사가을,,(주)영화사가을,2018-03-29,개봉영화,장편,한국,20,"765,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
349,미용실 : 특별한 서비스 2,,(주)영화사가을,,(주)영화사가을,2018-02-13,개봉영화,장편,한국,20,"765,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
350,밀애 : 친구엄마,김부곤,(주)영화사가을,,(주)영화사가을,2018-02-27,개봉영화,장편,한국,20,"770,000",129,"369,000",65,멜로/로맨스,청소년관람불가,일반영화
351,바람난 여자들2,조태호,(주)영화사가을,,(주)영화사가을,2018-04-24,개봉영화,장편,한국,20,"765,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
352,비뇨기과 여의사들,조태호,(주)영화사가을,,(주)영화사가을,2018-02-22,개봉영화,장편,한국,20,"770,000",129,"369,000",65,멜로/로맨스,청소년관람불가,일반영화
353,사촌 누나,조태호,(주)영화사가을,,(주)영화사가을,2018-03-08,개봉영화,장편,한국,20,"765,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
354,새오빠2,조태호,(주)영화사가을,,(주)영화사가을,2018-04-05,개봉영화,장편,한국,20,"765,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
355,애인 : 아내의 남자,임현태,(주)영화사가을,,(주)영화사가을,2018-06-21,개봉영화,장편,한국,20,"763,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
356,엄마의 연애,임현태,(주)영화사가을,,(주)영화사가을,2018-05-29,개봉영화,장편,한국,20,"768,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
357,여자 하숙집2,이리단,(주)영화사가을,,(주)영화사가을,2018-03-22,개봉영화,장편,한국,20,"765,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
358,정사 : 착한 며느리들,"김부곤,김부곤",(주)영화사가을,,(주)영화사가을,2018-01-25,개봉영화,장편,한국,20,"768,000",129,"378,000",67,멜로/로맨스,청소년관람불가,일반영화
359,정사 : 친구의 엄마 2,김부곤,(주)영화사가을,,(주)영화사가을,2018-04-19,개봉영화,장편,한국,20,"765,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
360,정사 : 캠퍼스 커플,임현태,(주)영화사가을,,(주)영화사가을,2018-06-22,개봉영화,장편,한국,20,"768,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
361,착한 엄마친구 2,김부곤,(주)영화사가을,,(주)영화사가을,2018-05-03,개봉영화,장편,한국,20,"760,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
362,밀애 : 부부카풀,임현태,(주)영화사가을,,(주)영화사가을,2018-06-28,개봉영화,장편,한국,20,"758,000",128,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
363,아내의 애인 2,조태호,(주)영화사가을,,(주)영화사가을,2018-06-14,개봉영화,장편,한국,20,"758,000",128,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
364,아내의 엄마,임현태,(주)영화사가을,,(주)영화사가을,2018-05-10,개봉영화,장편,한국,20,"758,000",128,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
365,정사 : 아내의 친구,조태호,(주)영화사가을,,(주)영화사가을,2018-05-17,개봉영화,장편,한국,20,"758,000",128,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
366,정사 : 어린 새엄마,임현태,(주)영화사가을,,(주)영화사가을,2018-05-31,개봉영화,장편,한국,20,"758,000",128,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
367,착한 형수 3,이리단,(주)영화사가을,,(주)영화사가을,2018-06-07,개봉영화,장편,한국,20,"758,000",128,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
368,친구엄마들,조태호,(주)영화사가을,,(주)영화사가을,2018-07-05,개봉영화,장편,한국,20,"758,000",128,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
369,하숙집 여자들,조태호,(주)영화사가을,,(주)영화사가을,2018-06-26,개봉영화,장편,한국,20,"763,000",128,"369,000",65,멜로/로맨스,청소년관람불가,일반영화
370,여자친구,김대성,(주)영화사히트,,(주)영화사히트,2018-02-27,개봉영화,장편,한국,20,"720,000",123,"378,000",67,멜로/로맨스,청소년관람불가,일반영화
371,이모의 유혹,김경택,스마일컨텐츠,,스마일컨텐츠,2018-03-02,개봉영화,장편,한국,18,"718,000",123,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
372,젊은 장모,김경훈,스마일컨텐츠,,스마일컨텐츠,2018-02-02,개봉영화,장편,한국,19,"721,000",123,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
373,옆집누나들,김경택,스마일컨텐츠,,스마일컨텐츠,2018-06-21,개봉영화,장편,한국,20,"713,000",122,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
374,오피스텔-잘하는애들로,천성준,(주)케이피에이기획,,(주)케이피에이기획,2019-06-07,개봉영화,장편,한국,20,"663,000",122,"395,000",78,멜로/로맨스,청소년관람불가,일반영화
375,자매의교환섹스,장두만,에이원 미디어,,에이원 미디어,2018-12-04,개봉영화,장편,한국,1,"668,000",122,"395,000",78,멜로/로맨스,청소년관람불가,일반영화
376,가슴큰누나들,김경택,스마일컨텐츠,,스마일컨텐츠,2018-06-12,개봉영화,장편,한국,19,"708,000",121,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
377,감금의 시간 2 무삭제,김대성,(주)영화사히트,,(주)영화사히트,2018-01-17,개봉영화,장편,한국,20,"701,000",120,"371,000",66,코미디,청소년관람불가,일반영화
378,내 아내의 언니 2,"김부곤,김부곤",(주)영화사가을,,(주)영화사가을,2018-01-11,개봉영화,장편,한국,20,"714,000",120,"378,000",67,멜로/로맨스,청소년관람불가,일반영화
379,매니저,백마,유로 프로덕션,,유로 프로덕션,2018-04-10,개봉영화,장편,한국,20,"699,000",120,"371,000",66,멜로/로맨스,청소년관람불가,일반영화
380,미투 숨겨진 진실,마현진,(주)에스와이미디어,,(주)에스와이미디어,2018-06-29,개봉영화,장편,한국,20,"703,000",120,"369,000",65,기타,청소년관람불가,일반영화
381,장모학개론,김다니엘,스마일컨텐츠,,스마일컨텐츠,2018-05-22,개봉영화,장편,한국,18,"702,000",120,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
382,맛있는 세자매,장두만,(주)케이피에이기획,,(주)케이피에이기획,2018-10-04,개봉영화,장편,한국,1,"693,000",119,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
383,여대생들의은밀한아르바이트,천성준,에이원 미디어,,에이원 미디어,2019-05-07,개봉영화,장편,한국,20,"657,000",119,"389,000",75,멜로/로맨스,청소년관람불가,일반영화
384,옆집소녀2,성기만,스마일컨텐츠,,스마일컨텐츠,2018-10-25,개봉영화,장편,한국,17,"694,000",119,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
385,착한 여동생,김다니엘,스마일컨텐츠,,스마일컨텐츠,2018-09-21,개봉영화,장편,한국,20,"694,000",119,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
386,동갑내기 엄마,성기만,스마일컨텐츠,,스마일컨텐츠,2018-11-22,개봉영화,장편,한국,19,"658,000",117,"385,000",73,멜로/로맨스,청소년관람불가,일반영화
387,장모의유혹,김이슬,스마일컨텐츠,,스마일컨텐츠,2019-02-22,개봉영화,장편,한국,20,"764,000",116,"431,000",69,멜로/로맨스,청소년관람불가,일반영화
388,정사 : 착한 숙모,김부곤,(주)영화사가을,,(주)영화사가을,2018-09-21,개봉영화,장편,한국,20,"557,000",115,"161,000",51,멜로/로맨스,청소년관람불가,일반영화
389,밝히는그녀들,원명준,스마일컨텐츠,,스마일컨텐츠,2019-12-12,개봉영화,장편,한국,20,"652,000",114,"384,000",70,멜로/로맨스,청소년관람불가,일반영화
390,자매의은밀한스와핑-무삭제,정민용,스마일컨텐츠,,스마일컨텐츠,2019-02-15,개봉영화,장편,한국,20,"650,000",113,"377,000",69,멜로/로맨스,청소년관람불가,일반영화
391,폐교,최효원,(주)유비네트워크,,(주)유비네트워크,2019-09-05,개봉영화,장편,한국,20,"670,300",113,"404,300",70,공포(호러),15세이상관람가,일반영화
392,맛있는엄마들,이철,스마일컨텐츠,,스마일컨텐츠,2019-09-27,개봉영화,장편,한국,20,"643,000",111,"375,000",67,멜로/로맨스,청소년관람불가,일반영화
393,아내의유혹,천성준,에이원 미디어,,에이원 미디어,2019-10-25,개봉영화,장편,한국,20,"644,000",111,"371,000",66,멜로/로맨스,청소년관람불가,일반영화
394,가슴큰엄마들,차지민,스마일컨텐츠,,스마일컨텐츠,2019-08-16,개봉영화,장편,한국,20,"638,000",110,"371,000",66,멜로/로맨스,청소년관람불가,일반영화
395,동생의 여자-무삭제,장두만,(주)케이피에이기획,,(주)케이피에이기획,2019-03-22,개봉영화,장편,한국,1,"644,000",110,"371,000",66,멜로/로맨스,청소년관람불가,일반영화
396,맛있는 누나들,강백호,스마일컨텐츠,,스마일컨텐츠,2018-12-19,개봉영화,장편,한국,20,"644,000",110,"371,000",66,멜로/로맨스,청소년관람불가,일반영화
397,아빠친구2,감자,스마일컨텐츠,,스마일컨텐츠,2018-11-15,개봉영화,장편,한국,20,"644,000",110,"364,000",65,멜로/로맨스,청소년관람불가,일반영화
398,엄마학개론,차지민,스마일컨텐츠,,스마일컨텐츠,2019-04-19,개봉영화,장편,한국,20,"644,000",110,"371,000",66,멜로/로맨스,청소년관람불가,일반영화
399,이모의유혹2,김이슬,스마일컨텐츠,,스마일컨텐츠,2019-07-05,개봉영화,장편,한국,20,"639,000",110,"371,000",66,멜로/로맨스,청소년관람불가,일반영화
400,엄마친구들 2,임현태,(주)영화사가을,,(주)영화사가을,2018-09-13,개봉영화,장편,한국,20,"531,000",102,"135,000",38,멜로/로맨스,청소년관람불가,일반영화
401,룸싸롱 맛있는 서비스,조태호,(주)영화사가을,,(주)영화사가을,2018-08-09,개봉영화,장편,한국,20,"515,000",91,"111,000",26,멜로/로맨스,청소년관람불가,일반영화
402,착한 자매들,김부곤,(주)영화사가을,,(주)영화사가을,2018-10-12,개봉영화,장편,한국,20,"509,000",91,"113,000",27,멜로/로맨스,청소년관람불가,일반영화
403,여친 언니,조태호,(주)영화사가을,,(주)영화사가을,2018-10-04,개봉영화,장편,한국,20,"495,000",84,"99,000",20,멜로/로맨스,청소년관람불가,일반영화
404,노래방 : 화끈한 여자들,조태호,(주)영화사가을,,(주)영화사가을,2018-11-09,개봉영화,장편,한국,20,"578,000",81,"122,000",7,멜로/로맨스,청소년관람불가,일반영화
405,개인교수 : 성적 올리기,유해종,(주)영화사가을,,(주)영화사가을,2018-10-25,개봉영화,장편,한국,20,"486,000",80,"84,000",15,멜로/로맨스,청소년관람불가,일반영화
406,귀신과 함께 춤을,백감독,(주)인피니티엔터테인먼트,,(주)인피니티엔터테인먼트,2018-11-30,개봉영화,장편,한국,1,"158,000",79,"158,000",79,멜로/로맨스,청소년관람불가,일반영화
407,엄마친구 5,명석환,(주)영화사 사계절,,(주)영화사 사계절,2018-08-24,개봉영화,장편,한국,20,"625,000",77,"69,000",5,멜로/로맨스,청소년관람불가,일반영화
408,착한 엄마 2,곽영근,"(주)영화사 사계절,대호필름",,(주)영화사 사계절,2018-10-19,개봉영화,장편,한국,20,"481,000",77,"85,000",13,멜로/로맨스,청소년관람불가,일반영화
409,정사 : 자매의 유혹,김부곤,(주)영화사가을,,(주)영화사가을,2018-08-16,개봉영화,장편,한국,20,"473,000",73,"77,000",9,멜로/로맨스,청소년관람불가,일반영화
410,여교사 : 제자와의 사랑,최민,(주)영화사가을,,(주)영화사가을,2018-08-02,개봉영화,장편,한국,20,"471,000",72,"75,000",8,멜로/로맨스,청소년관람불가,일반영화
411,내 여자친구의 엄마,김부곤,(주)영화사가을,,(주)영화사가을,2018-12-04,개봉영화,장편,한국,20,"518,000",71,"122,000",7,멜로/로맨스,청소년관람불가,일반영화
412,밀애 : 아내의 여동생,김부곤,(주)영화사가을,,(주)영화사가을,2018-11-15,개봉영화,장편,한국,20,"518,000",71,"122,000",7,멜로/로맨스,청소년관람불가,일반영화
413,내 학생의 엄마 3,유해종,(주)영화사가을,,(주)영화사가을,2018-09-07,개봉영화,장편,한국,20,"467,000",70,"76,000",6,멜로/로맨스,청소년관람불가,일반영화
414,스와핑 : 친구의 아내 2,유해종,(주)영화사가을,,(주)영화사가을,2018-07-19,개봉영화,장편,한국,20,"470,000",69,"74,000",5,멜로/로맨스,청소년관람불가,일반영화
415,신혼부부의 성생활,조태호,(주)영화사가을,,(주)영화사가을,2018-07-12,개봉영화,장편,한국,20,"470,000",69,"74,000",5,멜로/로맨스,청소년관람불가,일반영화
416,엄마의 유혹,유해종,(주)영화사가을,,(주)영화사가을,2018-07-31,개봉영화,장편,한국,20,"465,000",69,"69,000",5,멜로/로맨스,청소년관람불가,일반영화
417,여친엄마 2,최민,(주)영화사가을,,(주)영화사가을,2018-08-30,개봉영화,장편,한국,19,"465,000",69,"69,000",5,멜로/로맨스,청소년관람불가,일반영화
418,연애 : 엄마친구,유해종,(주)영화사가을,,(주)영화사가을,2018-07-10,개봉영화,장편,한국,20,"470,000",69,"76,000",6,멜로/로맨스,청소년관람불가,일반영화
419,젊은 엄마 친구,유해종,(주)영화사가을,,(주)영화사가을,2018-09-28,개봉영화,장편,한국,20,"465,000",69,"69,000",5,멜로/로맨스,청소년관람불가,일반영화
420,정사 : 처제의 사랑,최민,(주)영화사가을,,(주)영화사가을,2018-07-26,개봉영화,장편,한국,20,"465,000",69,"69,000",5,멜로/로맨스,청소년관람불가,일반영화
