순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
26,지금 만나러 갑니다,이장훈,"(주)무비락,(주)도서관옆스튜디오,(주)푸른나무픽쳐스",,롯데쇼핑㈜롯데엔터테인먼트,2018-03-14,개봉영화,장편,한국,"1,163","20,800,916,128","2,602,273","5,390,273,428","652,981",멜로/로맨스,12세이상관람가,일반영화
27,시동,최정열,(주)외유내강,,(주)넥스트엔터테인먼트월드(NEW),2019-12-18,개봉영화,장편,한국,"1,515","21,236,477,800","2,525,986","4,648,048,780","536,034",드라마,15세이상관람가,일반영화
28,목격자,조규장,(주)에이디사공육,,(주)넥스트엔터테인먼트월드(NEW),2018-08-15,개봉영화,장편,한국,"1,021","21,732,042,597","2,524,086","4,600,434,447","514,732",스릴러,15세이상관람가,일반영화
29,증인,이한,"(주)무비락,(주)도서관옆스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2019-02-13,개봉영화,장편,한국,"1,047","20,312,348,931","2,516,128","4,478,036,341","547,326",드라마,12세이상관람가,일반영화
30,블랙머니,정지영,"유한회사 질라라비,(주)아우라픽처스",,(주)에이스메이커무비웍스,2019-11-13,개봉영화,장편,한국,"1,117","20,744,296,510","2,464,978","5,030,225,390","578,800",범죄,12세이상관람가,일반영화
31,조선명탐정: 흡혈괴마의 비밀,김석윤,청년필름(주),,(주)쇼박스,2018-02-08,개봉영화,장편,한국,"1,249","19,690,818,764","2,424,330","4,072,581,264","490,363",사극,12세이상관람가,일반영화
32,사바하,장재현,"(주)외유내강,(주)필름케이",,(주)씨제이이엔엠,2019-02-20,개봉영화,장편,한국,"1,174","20,002,183,194","2,397,792","5,593,443,364","654,182",미스터리,15세이상관람가,일반영화
33,타짜: 원 아이드 잭,권오광,"(주)싸이더스,(주)엠씨엠씨,(주)비에이엔터테인먼트",,롯데컬처웍스(주)롯데엔터테인먼트,2019-09-11,개봉영화,장편,한국,"1,429","19,673,441,214","2,227,671","4,585,277,834","513,548",범죄,청소년관람불가,일반영화
34,신의 한 수: 귀수편,리건,"(주)메이스엔터테인먼트,(주)아지트필름",,(주)씨제이이엔엠,2019-11-07,개봉영화,장편,한국,"1,246","18,390,955,050","2,146,764","4,084,690,170","463,426",범죄,15세이상관람가,일반영화
35,명당,박희곤,(주)주피터필름,,메가박스중앙(주)플러스엠,2018-09-19,개봉영화,장편,한국,"1,117","17,900,775,524","2,087,474","4,530,609,774","518,726",사극,12세이상관람가,일반영화
36,협상,이종석,"(주)제이케이필름,그리고픽처스,(주)씨제이이엔엠",,(주)씨제이이엔엠,2018-09-19,개봉영화,장편,한국,919,"17,032,133,166","1,967,721","3,777,056,966","424,008",범죄,15세이상관람가,일반영화
37,내안의 그놈,강효진,"(주)에코필름,(주)전망좋은 영화사",,"(주)메리크리스마스,TCO(주)더콘텐츠온",2019-01-09,개봉영화,장편,한국,"1,041","16,293,580,567","1,901,684","3,159,829,257","357,691",판타지,15세이상관람가,일반영화
38,마약왕,우민호,(주)하이브미디어코프,,(주)쇼박스,2018-12-19,개봉영화,장편,한국,"1,297","16,222,446,942","1,864,076","3,961,025,202","444,222",범죄,청소년관람불가,일반영화
39,뺑반,한준희,"호두앤유픽쳐스(주),(주)쇼박스",,(주)쇼박스,2019-01-30,개봉영화,장편,한국,"1,285","15,222,811,848","1,826,714","3,228,907,718","376,646",범죄,15세이상관람가,일반영화
40,변신,김홍선,(주)다나크리에이티브,,(주)에이스메이커무비웍스,2019-08-21,개봉영화,장편,한국,975,"15,417,922,925","1,804,112","3,329,066,895","375,676",공포(호러),15세이상관람가,일반영화
41,PMC: 더 벙커,김병우,(주)퍼펙트스톰필름,,(주)씨제이이엔엠,2018-12-26,개봉영화,장편,한국,"1,081","14,024,838,424","1,671,548","3,416,787,594","394,373",액션,15세이상관람가,일반영화
42,걸캅스,정다원,(주)필름모멘텀,,(주)씨제이이엔엠,2019-05-09,개봉영화,장편,한국,973,"13,772,604,134","1,625,037","3,195,307,954","367,990",코미디,15세이상관람가,일반영화
43,사자,김주환,(주)키이스트,,롯데컬처웍스(주)롯데엔터테인먼트,2019-07-31,개봉영화,장편,한국,"1,405","12,917,306,145","1,609,737","3,155,811,715","380,265",미스터리,15세이상관람가,일반영화
44,창궐,김성훈,"리양필름(주),영화사 이창",,(주)넥스트엔터테인먼트월드(NEW),2018-10-25,개봉영화,장편,한국,"1,351","13,275,772,490","1,599,290","3,015,779,340","352,559",사극,15세이상관람가,일반영화
45,성난황소,김민호,"주식회사 플러스미디어엔터테인먼트,(주)비에이엔터테인먼트",,(주)쇼박스,2018-11-22,개봉영화,장편,한국,"1,010","13,236,490,737","1,593,386","2,517,251,837","293,079",범죄,15세이상관람가,일반영화
46,도어락,이권,(주)영화사피어나,,메가박스중앙(주)플러스엠,2018-12-05,개봉영화,장편,한국,954,"12,694,612,486","1,545,442","2,808,006,386","326,012",스릴러,15세이상관람가,일반영화
47,리틀 포레스트,임순례,(주)영화사수박,,메가박스중앙(주)플러스엠,2018-02-28,개봉영화,장편,한국,884,"11,924,818,185","1,505,560","3,853,015,885","474,626",드라마,전체관람가,일반영화
48,스윙키즈,강형철,(주)안나푸르나필름,,(주)넥스트엔터테인먼트월드(NEW),2018-12-19,개봉영화,장편,한국,984,"12,077,312,892","1,470,753","3,606,050,352","421,172",드라마,12세이상관람가,일반영화
49,나의 특별한 형제,육상효,"(주)명필름,(주)조이래빗",,(주)넥스트엔터테인먼트월드(NEW),2019-05-01,개봉영화,장편,한국,936,"11,835,049,574","1,441,813","2,227,671,104","263,613",드라마,12세이상관람가,일반영화
50,골든슬럼버,노동석,영화사 집,,(주)씨제이이엔엠,2018-02-14,개봉영화,장편,한국,833,"11,412,768,798","1,387,508","2,666,693,198","315,506",범죄,15세이상관람가,일반영화
51,궁합,홍창표,(주)주피터필름,,(주)씨제이이엔엠,2018-02-28,개봉영화,장편,한국,966,"10,478,875,438","1,340,117","2,478,594,738","309,094",코미디,12세이상관람가,일반영화
52,사라진 밤,이창희,"(주)싸이더스,(주)엠씨엠씨,(주)더블앤조이픽쳐스",,(주)키다리이엔티,2018-03-07,개봉영화,장편,한국,925,"10,686,397,316","1,314,274","2,577,142,716","309,566",스릴러,15세이상관람가,일반영화
53,유열의 음악앨범,정지우,"(주)무비락,정지우 필름,(주)필름봉옥",,CGV아트하우스,2019-08-28,개봉영화,장편,한국,"1,078","10,233,455,040","1,245,532","2,970,923,290","346,201",멜로/로맨스,12세이상관람가,일반영화
54,생일,이종언,"나우필름(주),(주)영화사레드피터,파인하우스필름(주)",,(주)넥스트엔터테인먼트월드(NEW),2019-04-03,개봉영화,장편,한국,862,"9,786,575,840","1,186,283","1,958,959,300","230,586",드라마,전체관람가,일반영화
